year,state,p_poor_mental,gun_suicides,population,fem_fs_s,male_fs_s,mean_fs_s
1997,Kentucky,0.17211511595417714,356,3911490,0.617283951,0.751842752,0.6845633515
1997,Louisiana,0.10104744300677758,373,4355580,0.6,0.769607843,0.6848039214999999
1997,Maine,0.08814770696843359,75,1242277,0.481481481,0.627272727,0.5543771040000001
1997,Maryland,0.055836447570894704,268,5096745,0.278350515,0.575829384,0.4270899495
1997,Massachusetts,0.08770917484131564,133,6116810,0.101010101,0.335877863,0.218443982
1997,Michigan,0.09853581321725366,557,9784013,0.269230769,0.61352657,0.4413786695
1997,Minnesota,0.08009298393913779,245,4688960,0.310810811,0.587939698,0.44937525450000004
1997,Mississippi,0.07326478149100257,271,2732621,0.666666667,0.827956989,0.747311828
1997,Missouri,0.09707666850523994,452,5410184,0.418032787,0.681972789,0.550002788
1997,Montana,0.07228229937393284,106,879093,0.361111111,0.727891156,0.5445011335
1997,Nebraska,0.07518796992481203,92,1657479,0.275,0.647058824,0.461029412
1997,Nevada,0.09846650524616626,272,1679240,0.62962963,0.66969697,0.6496633
1997,New Hampshire,0.08718980549966465,66,1172235,0.323529412,0.578431373,0.4509803925
1997,New Jersey,0.085463563525372,181,8063532,0.138461538,0.375,0.256730769
1997,New Mexico,0.0957683741648107,164,1724489,0.327586207,0.636363636,0.4819749215
1997,New York,0.08903694730466384,477,18154438,0.1,0.422365989,0.2611829945
1997,North Carolina,0.07876230661040788,609,7433282,0.55801105,0.710344828,0.634177939
1997,North Dakota,0.08407572383073497,44,641233,0.615384615,0.626865672,0.6211251435
1997,Ohio,0.06289707750952986,615,11197192,0.334883721,0.596048299,0.46546601
1997,Oklahoma,0.05178857447944474,307,3323130,0.540816327,0.654135338,0.5974758325
1997,Oregon,0.0921293471629042,331,3244200,0.385964912,0.683333333,0.5346491225
1997,Pennsylvania,0.0875458909912454,793,12014963,0.376,0.601549053,0.4887745265
1997,Rhode Island,0.08489525909592062,20,987455,0.4,0.338709677,0.3693548385
1997,South Carolina,0.048928238583411,297,3789486,0.595744681,0.733727811,0.6647362459999999
1997,South Dakota,0.07596685082872928,63,737905,0.142857143,0.628318584,0.38558786349999996
1997,Tennessee,0.11057692307692307,499,5373607,0.5,0.743455497,0.6217277485
1997,Texas,0.08048780487804878,1360,19391971,0.46347032,0.677985948,0.570728134
1997,Utah,0.09894736842105263,168,2066113,0.453125,0.58649789,0.519811445
1997,Vermont,0.07195160776822668,28,588813,0.25,0.649122807,0.4495614035
1997,Virginia,0.08318739054290718,499,6740038,0.444444444,0.703883495,0.5741639695
1997,Washington,0.0818001698273422,423,5615848,0.385185185,0.625632378,0.5054087815
1997,West Virginia,0.07804068078040681,170,1816821,0.56097561,0.705882353,0.6334289815
1997,Wisconsin,0.06292134831460675,279,5202656,0.225490196,0.540084388,0.382787292
1997,Wyoming,0.07268170426065163,64,480281,0.538461538,0.768292683,0.6533771104999999
1998,Alabama,0.12379642365887207,437,4354814,0.657657658,0.794759825,0.7262087415
1998,Alaska,0.0705521472392638,72,614178,0.461538462,0.689320388,0.5754294249999999
1998,Arizona,0.027182435964453737,529,4672954,0.43452381,0.716981132,0.575752471
1998,Arkansas,0.12121212121212122,246,2539722,0.55,0.764084507,0.6570422535
1998,California,0.08095007270964615,1701,32680473,0.291989664,0.558879212,0.425434438
1998,Colorado,0.08403361344537816,319,3974847,0.363636364,0.567346939,0.4654916515
1998,Connecticut,0.08425504229017566,90,3275959,0.163636364,0.400990099,0.2823132315
1998,Delaware,0.0890894819466248,33,744202,0.363636364,0.526315789,0.4449760765
1998,District of Columbia,0.057799442896935935,0,524634,NA,NA,NA
1998,Florida,0.0939841575679726,1177,14922836,0.378378378,0.593107618,0.485742998
1998,Georgia,0.09892008639308855,593,7649026,0.567073171,0.770516717,0.6687949440000001
1998,Hawaii,0.0651969981238274,20,1193944,0.117647059,0.280487805,0.199067432
1998,Idaho,0.08197056418642681,127,1229875,0.46875,0.698224852,0.583487426
1998,Illinois,0.08076923076923077,486,12052153,0.269230769,0.519323671,0.39427722
1998,Indiana,0.09090909090909091,427,5902591,0.388429752,0.657439446,0.52293459900000006
1998,Iowa,0.08158765159867695,143,2863811,0.220588235,0.490421456,0.3555048455
1998,Kansas,0.08346709470304976,203,2631004,0.352941176,0.675182482,0.514061829
1998,Kentucky,0.16059782608695652,377,3938901,0.454545455,0.782201405,0.61837343
1998,Louisiana,0.08706467661691543,338,4372169,0.659340659,0.732647815,0.6959942370000001
1998,Maine,0.07673112913287586,99,1244639,0.371428571,0.577639752,0.47453416149999994
1998,Maryland,0.09478234022846557,252,5138550,0.362637363,0.561576355,0.46210685900000004
1998,Massachusetts,0.08861019736842106,146,6150024,0.14159292,0.348600509,0.2450967145
1998,Michigan,0.10915633746501399,551,9820468,0.37195122,0.608695652,0.490323436
1998,Minnesota,0.08339324227174695,235,4727272,0.285714286,0.581151832,0.43343305899999995
1998,Mississippi,0.09954751131221719,241,2754690,0.627118644,0.755555556,0.6913370999999999
1998,Missouri,0.09959183673469388,423,5441591,0.38,0.669708029,0.5248540145
1998,Montana,0.08025042686397268,95,880689,0.333333333,0.702290076,0.5178117045
1998,Nebraska,0.08516177017478617,106,1663407,0.28125,0.622093023,0.4516715115
1998,Nevada,0.09188911704312115,231,1749051,0.425287356,0.658064516,0.5416759360000001
1998,New Hampshire,0.08481532147742818,81,1185163,0.314285714,0.613445378,0.46386554599999996
1998,New Jersey,0.0784072249589491,207,8121884,0.171171171,0.414893617,0.29303239400000003
1998,New Mexico,0.09905921416712783,173,1738026,0.5,0.598393574,0.5491967870000001
1998,New York,0.08191403081914031,495,18184831,0.141732283,0.421621622,0.28167695249999997
1998,North Carolina,0.0781580059146599,554,7553053,0.525714286,0.684750733,0.6052325095
1998,North Dakota,0.07003891050583658,32,638038,0.166666667,0.590909091,0.378787879
1998,Ohio,0.07939189189189189,642,11214613,0.436170213,0.608695652,0.5224329325
1998,Oklahoma,0.06267577340297308,297,3349187,0.522727273,0.660574413,0.591650843
1998,Oregon,0.10631229235880399,327,3284128,0.429906542,0.641552511,0.5357295264999999
1998,Pennsylvania,0.08803611738148984,767,12007121,0.32173913,0.607894737,0.4648169335
1998,Rhode Island,0.09704880817253121,15,988720,0.2,0.323943662,0.261971831
1998,South Carolina,0.09403031240334055,317,3838965,0.65060241,0.740437158,0.695519784
1998,South Dakota,0.07282246549262256,66,738522,0.357142857,0.663366337,0.510254597
1998,Tennessee,0.1105702364394993,508,5435370,0.533333333,0.732323232,0.6328282825
1998,Texas,0.09976446837146702,1365,19775517,0.502380952,0.673671921,0.5880264365
1998,Utah,0.09708054871614492,199,2102656,0.381818182,0.633451957,0.5076350695
1998,Vermont,0.07841140529531568,48,591039,0.384615385,0.712328767,0.548472076
1998,Virginia,0.08860759493670886,531,6796319,0.443181818,0.695852535,0.5695171765
1998,Washington,0.0851305334846765,381,5692159,0.374100719,0.578207381,0.47615405
1998,West Virginia,0.07038733860891296,157,1813268,0.487179487,0.735751295,0.6114653910000001
1998,Wisconsin,0.08077099586966498,313,5225702,0.313559322,0.579831933,0.4466956275
1998,Wyoming,0.0891746163417669,50,480933,0.4375,0.704225352,0.570862676
1999,Alabama,0.11388074291300097,435,4430141,0.697916667,0.801742919,0.749829793
1999,Alaska,0.08955223880597014,55,624779,0.454545455,0.608108108,0.5313267815
1999,Arizona,0.01728110599078341,476,5023823,0.380368098,0.686567164,0.5334676309999999
1999,Arkansas,0.09830508474576272,234,2651860,0.542372881,0.729241877,0.6358073790000001
1999,California,0.08929406264609631,1532,33499204,0.314417178,0.547216495,0.4308168365
1999,Colorado,0.0828656322218554,309,4226018,0.32231405,0.59602649,0.45917027
1999,Connecticut,0.07995365005793743,110,3386401,0.070175439,0.493087558,0.2816314985
1999,Delaware,0.09378709932726553,38,774990,0.230769231,0.561643836,0.3962065335
1999,District of Columbia,0.07955449482895784,10,570213,NA,NA,NA
1999,Florida,0.09529343404997094,1136,15759421,0.415178571,0.600885515,0.508032043
1999,Georgia,0.09472259810554803,628,8045965,0.609195402,0.746781116,0.6779882589999999
1999,Hawaii,0.05807962529274005,22,1210300,0,0.214953271,0.1074766355
1999,Idaho,0.08806702084184716,125,1275674,0.527777778,0.731034483,0.6294061305
1999,Illinois,0.0798333911836168,481,12359020,0.24120603,0.527405603,0.38430581649999995
1999,Indiana,0.09462809917355372,368,6044969,0.339622642,0.636015326,0.487818984
1999,Iowa,0.07919687674288901,160,2917634,0.32,0.564705882,0.442352941
1999,Kansas,0.06822971548998946,166,2678338,0.354166667,0.593625498,0.4738960825
1999,Kentucky,0.16970998925886144,334,4018053,0.542168675,0.746770026,0.6444693505
1999,Louisiana,0.10315009264978382,380,4460811,0.57,0.794258373,0.6821291865
1999,Maine,0.07893139040680024,87,1266808,0.263157895,0.591240876,0.4271993855
1999,Maryland,0.0999486125385406,239,5254509,0.273972603,0.610497238,0.4422349205
1999,Massachusetts,0.0845872305815372,118,6317345,0.12745098,0.319148936,0.223299958
1999,Michigan,0.0996771589991929,542,9897116,0.322404372,0.610619469,0.4665119205
1999,Minnesota,0.07836456558773425,228,4873481,0.166666667,0.591780822,0.3792237445
1999,Mississippi,0.1007125890736342,244,2828408,0.641509434,0.836653386,0.73908141
1999,Missouri,0.08438617401668654,426,5561948,0.352941176,0.670212766,0.511576971
